code,title
H,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS"
H02,CORTICOSTEROIDS FOR SYSTEMIC USE
H02A,"CORTICOSTEROIDS FOR SYSTEMIC USE, PLAIN"
H02AB,GLUCOCORTICOIDS
H02AB04,METHYLPREDNISOLONE
G,GENITO URINARY SYSTEM AND SEX HORMONES
G03,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM
G03B,ANDROGENS
G03BA,3-OXOANDROSTEN (4) DERIVATIVES
G03BA02,METHYLTESTOSTERONE
A,ALIMENTARY TRACT AND METABOLISM
A03,DRUGS FOR FUNCTIONAL GASTROINTESTINAL DISORDERS
A03F,PROPULSIVES
A03FA,PROPULSIVES
A03FA01,METOCLOPRAMIDE
C,CARDIOVASCULAR SYSTEM
C07,BETA BLOCKING AGENTS
C07A,BETA BLOCKING AGENTS
C07AB,"BETA BLOCKING AGENTS, SELECTIVE"
C07AB02,METOPROLOL
J,ANTIINFECTIVES FOR SYSTEMIC USE
J01,ANTIBACTERIALS FOR SYSTEMIC USE
J01X,OTHER ANTIBACTERIALS
J01XD,IMIDAZOLE DERIVATIVES
J01XD01,METRONIDAZOLE
P,"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"
P01,ANTIPROTOZOALS
P01A,AGENTS AGAINST AMOEBIASIS AND OTHER PROTOZOAL DISEASES
P01AB,NITROIMIDAZOLE DERIVATIVES
P01AB01,METRONIDAZOLE
D,DERMATOLOGICALS
D06,ANTIBIOTICS AND CHEMOTHERAPEUTICS FOR DERMATOLOGICAL USE
D06B,CHEMOTHERAPEUTICS FOR TOPICAL USE
D06BX,OTHER CHEMOTHERAPEUTICS
D06BX01,METRONIDAZOLE
G01,GYNECOLOGICAL ANTIINFECTIVES AND ANTISEPTICS
G01A,"ANTIINFECTIVES AND ANTISEPTICS, EXCL. COMBINATIONS WITH CORTICOSTEROIDS"
G01AF,IMIDAZOLE DERIVATIVES
G01AF01,METRONIDAZOLE
D07AB08,DESONIDE
D01,ANTIFUNGALS FOR DERMATOLOGICAL USE
D01A,ANTIFUNGALS FOR TOPICAL USE
D01AC,IMIDAZOLE AND TRIAZOLE DERIVATIVES
D01AC02,MICONAZOLE
N,NERVOUS SYSTEM
N05,PSYCHOLEPTICS
N05C,HYPNOTICS AND SEDATIVES
N05CD,BENZODIAZEPINE DERIVATIVES
N05CD08,MIDAZOLAM
B,BLOOD AND BLOOD FORMING ORGANS
B05,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS
B05C,IRRIGATING SOLUTIONS
B05CB,SALT SOLUTIONS
B05CB01,SODIUM CHLORIDE
B05X,I.V. SOLUTION ADDITIVES
B05XA,ELECTROLYTE SOLUTIONS
B05XA03,SODIUM CHLORIDE
V,VARIOUS
V03,ALL OTHER THERAPEUTIC PRODUCTS
V03A,ALL OTHER THERAPEUTIC PRODUCTS
V03AE,DRUGS FOR TREATMENT OF HYPERKALEMIA AND HYPERPHOSPHATEMIA
V03AE01,POLYSTYRENE SULFONATE
H01,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES
H01A,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES
H01AC,SOMATROPIN AND SOMATROPIN AGONISTS
H01AC01,SOMATROPIN
A06,DRUGS FOR CONSTIPATION
A06A,DRUGS FOR CONSTIPATION
A06AD,OSMOTICALLY ACTING LAXATIVES
A06AD18,SORBITOL
v04,DIAGNOSTIC AGENTS
v04c,OTHER DIAGNOSTIC AGENTS
v04cj,TESTS FOR THYREOIDEA FUNCTION
v04cj02,PROTIRELIN
C07AA,"BETA BLOCKING AGENTS, NON-SELECTIVE"
C07AA07,SOTALOL
J01R,COMBINATIONS OF ANTIBACTERIALS
J01RA,COMBINATIONS OF ANTIBACTERIALS
J01RA01,"PENICILLINS, COMBINATIONS WITH OTHER ANTIBACTERIALS"
C03,DIURETICS
C03D,POTASSIUM-SPARING AGENTS
C03DA,ALDOSTERONE ANTAGONISTS
C03DA01,SPIRONOLACTONE
V04CF,TUBERCULOSIS DIAGNOSTICS
J01G,AMINOGLYCOSIDE ANTIBACTERIALS
J01GA,STREPTOMYCINS
J01GA01,STREPTOMYCIN
V04CF01,TUBERCULIN
M,MUSCULO-SKELETAL SYSTEM
M03,MUSCLE RELAXANTS
M03A,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AB,CHOLINE DERIVATIVES
M03AB01,SUXAMETHONIUM
A02,DRUGS FOR ACID RELATED DISORDERS
A02B,DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX,OTHER DRUGS FOR PEPTIC ULCER AND GASTRO-OESOPHAGEAL REFLUX DISEASE (GORD)
A02BX02,SUCRALFATE
N01,ANESTHETICS
N01A,"ANESTHETICS, GENERAL"
N01AH,OPIOID ANESTHETICS
N01AH03,SUFENTANIL
S,SENSORY ORGANS
S01,OPHTHALMOLOGICALS
S01A,ANTIINFECTIVES
S01AB,SULFONAMIDES
S01AB04,SULFACETAMIDE
A07,"ANTIDIARRHEALS, INTESTINAL ANTIINFLAMMATORY/ANTIINFECTIVE AGENTS"
A07E,INTESTINAL ANTIINFLAMMATORY AGENTS
A07EC,AMINOSALICYLIC ACID AND SIMILAR AGENTS
A07EC01,SULFASALAZINE
B03,ANTIANEMIC PREPARATIONS
B03B,VITAMIN B12 AND FOLIC ACID
B03BB,FOLIC ACID AND DERIVATIVES
B03BB01,FOLIC ACID
N02,ANALGESICS
N02C,ANTIMIGRAINE PREPARATIONS
N02CC,SELECTIVE SEROTONIN (5HT1) AGONISTS
N02CC01,SUMATRIPTAN
L,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS
L02,ENDOCRINE THERAPY
L02B,HORMONE ANTAGONISTS AND RELATED AGENTS
L02BA,ANTI-ESTROGENS
L02BA01,TAMOXIFEN
A02BA,H2-RECEPTOR ANTAGONISTS
A02BA02,RANITIDINE
G04,UROLOGICALS
G04B,UROLOGICALS
G04BE,DRUGS USED IN ERECTILE DYSFUNCTION
G04BE03,SILDENAFIL
S01X,OTHER OPHTHALMOLOGICALS
S01XA,OTHER OPHTHALMOLOGICALS
B05XA02,SODIUM BICARBONATE
R,RESPIRATORY SYSTEM
R01,NASAL PREPARATIONS
R01A,DECONGESTANTS AND OTHER NASAL PREPARATIONS FOR TOPICAL USE
R01AX,OTHER NASAL PREPARATIONS
M05,DRUGS FOR TREATMENT OF BONE DISEASES
M05B,DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BA,BISPHOSPHONATES
M05BA04,ALENDRONIC ACID
C02,ANTIHYPERTENSIVES
C02D,"ARTERIOLAR SMOOTH MUSCLE, AGENTS ACTING ON"
C02DC,PYRIMIDINE DERIVATIVES
C02DC01,MINOXIDIL
D11,OTHER DERMATOLOGICAL PREPARATIONS
D11A,OTHER DERMATOLOGICAL PREPARATIONS
D11AX,OTHER DERMATOLOGICALS
D11AX01,MINOXIDIL
N06,PSYCHOANALEPTICS
N06A,ANTIDEPRESSANTS
N06AG,MONOAMINE OXIDASE A INHIBITORS
N06AG02,MOCLOBEMIDE
D11AX13,MONOBENZONE
R03,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03D,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
R03DC,LEUKOTRIENE RECEPTOR ANTAGONISTS
R03DC03,MONTELUKAST
N02A,OPIOIDS
N02AA,NATURAL OPIUM ALKALOIDS
N02AA01,MORPHINE
A11,VITAMINS
A11A,"MULTIVITAMINS, COMBINATIONS"
A11AA,MULTIVITAMINS WITH MINERALS
D06A,ANTIBIOTICS FOR TOPICAL USE
D06AX,OTHER ANTIBIOTICS FOR TOPICAL USE
D06AX09,MUPIROCIN
L04,IMMUNOSUPPRESSANTS
L04A,IMMUNOSUPPRESSANTS
L04AA,SELECTIVE IMMUNOSUPPRESSANTS
L04AA06,MYCOPHENOLIC ACID
A01,STOMATOLOGICAL PREPARATIONS
A01A,STOMATOLOGICAL PREPARATIONS
A01AA,CARIES PROPHYLACTIC AGENTS
A01AA01,SODIUM FLUORIDE
L04AA31,TERIFLUNOMIDE
A12,MINERAL SUPPLEMENTS
A12C,OTHER MINERAL SUPPLEMENTS
A12CD,FLUORIDE
A12CD01,SODIUM FLUORIDE
H01CB01,SOMATOSTATIN
S01B,ANTIINFLAMMATORY AGENTS
S01BA,"CORTICOSTEROIDS, PLAIN"
S01BA07,FLUOROMETHOLONE
L01,ANTINEOPLASTIC AGENTS
L01B,ANTIMETABOLITES
L01BC,PYRIMIDINE ANALOGUES
L01BC02,FLUOROURACIL
J05AX15,SOFOSBUVIR
L01XE04,SUNITINIB
N06AB,SELECTIVE SEROTONIN REUPTAKE INHIBITORS
N06AB03,FLUOXETINE
N05A,ANTIPSYCHOTICS
N05AB,PHENOTHIAZINES WITH PIPERAZINE STRUCTURE
N05AB02,FLUPHENAZINE
N02B,OTHER ANALGESICS AND ANTIPYRETICS
N02BE,ANILIDES
N02BE01,PARACETAMOL
N05CD01,FLURAZEPAM
L02BB,ANTI-ANDROGENS
L02BB01,FLUTAMIDE
R03B,"OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES, INHALANTS"
R03BA,GLUCOCORTICOIDS
R03BA05,FLUTICASONE
N06AB08,FLUVOXAMINE
V03AF07,RASBURICASE
G01AX,OTHER ANTIINFECTIVES AND ANTISEPTICS
G01AX06,FURAZOLIDONE
C03C,HIGH-CEILING DIURETICS
C03CA,"SULFONAMIDES, PLAIN"
C03CA01,FUROSEMIDE
N03,ANTIEPILEPTICS
N03A,ANTIEPILEPTICS
N03AX,OTHER ANTIEPILEPTICS
N03AX12,GABAPENTIN
V08,CONTRAST MEDIA
V08C,MAGNETIC RESONANCE IMAGING CONTRAST MEDIA
V08CA,PARAMAGNETIC CONTRAST MEDIA
V08CA01,GADOPENTETIC ACID
B05A,BLOOD AND RELATED PRODUCTS
B05AA,BLOOD SUBSTITUTES AND PLASMA PROTEIN FRACTIONS
B05AA06,GELATIN AGENTS
L01BC05,GEMCITABINE
C10,LIPID MODIFYING AGENTS
C10A,"LIPID MODIFYING AGENTS, PLAIN"
C10AB,FIBRATES
C10AB04,GEMFIBROZIL
J01GB,OTHER AMINOGLYCOSIDES
J01GB03,GENTAMICIN
S03,OPHTHALMOLOGICAL AND OTOLOGICAL PREPARATIONS
S03A,ANTIINFECTIVES
S03AA,ANTIINFECTIVES
S03AA06,GENTAMICIN
S01AA,ANTIBIOTICS
S01AA11,GENTAMICIN
A10,DRUGS USED IN DIABETES
A10B,"BLOOD GLUCOSE LOWERING DRUGS, EXCL. INSULINS"
A10BB,"SULFONAMIDES, UREA DERIVATIVES"
A10BB01,GLIBENCLAMIDE
A10BB09,GLICLAZIDE
N05AX,OTHER ANTIPSYCHOTICS
N05AX12,ARIPIPRAZOLE
N03AX14,LEVETIRACETAM
C01,CARDIAC THERAPY
C01D,VASODILATORS USED IN CARDIAC DISEASES
C01DX,OTHER VASODILATORS USED IN CARDIAC DISEASES
C01DX16,NICORANDIL
A02BC,PROTON PUMP INHIBITORS
A02BC05,ESOMEPRAZOLE
M05BA07,RISEDRONIC ACID
N06B,"PSYCHOSTIMULANTS, AGENTS USED FOR ADHD AND NOOTROPICS"
N06BA,CENTRALLY ACTING SYMPATHOMIMETICS
N06BA07,MODAFINIL
C02K,OTHER ANTIHYPERTENSIVES
C02KX,OTHER ANTIHYPERTENSIVES
C02KX01,BOSENTAN
N04,ANTI-PARKINSON DRUGS
N04B,DOPAMINERGIC AGENTS
N04BA,DOPA AND DOPA DERIVATIVES
N04BA03,"LEVODOPA, DECARBOXYLASE INHIBITOR AND COMT INHIBITOR"
D07,"CORTICOSTEROIDS, DERMATOLOGICAL PREPARATIONS"
D07A,"CORTICOSTEROIDS, PLAIN"
D07AC,"CORTICOSTEROIDS, POTENT (GROUP III)"
D07AC13,MOMETASONE
D11AH,"AGENTS FOR DERMATITIS, EXCLUDING CORTICOSTEROIDS"
D11AH02,PIMECROLIMUS
L02A,HORMONES AND RELATED AGENTS
L02AE,GONADOTROPIN RELEASING HORMONE ANALOGUES
L02AE02,LEUPRORELIN
D07C,"CORTICOSTEROIDS, COMBINATIONS WITH ANTIBIOTICS"
D07CC,"CORTICOSTEROIDS, POTENT, COMBINATIONS WITH ANTIBIOTICS"
D07CC01,BETAMETHASONE AND ANTIBIOTICS
D01AC08,KETOCONAZOLE
R05,COUGH AND COLD PREPARATIONS
B05BA01,AMINO ACIDS
R05C,"EXPECTORANTS, EXCL. COMBINATIONS WITH COUGH SUPPRESSANTS"
R05CB,MUCOLYTICS
B05B,I.V. SOLUTIONS
B05BA,SOLUTIONS FOR PARENTERAL NUTRITION
B05BA10,COMBINATIONS
J06,IMMUNE SERA AND IMMUNOGLOBULINS
J06B,IMMUNOGLOBULINS
J06BA,"IMMUNOGLOBULINS, NORMAL HUMAN"
J06BA02,"IMMUNOGLOBULINS, NORMAL HUMAN, FOR INTRAVASCULAR ADM."
J02,ANTIMYCOTICS FOR SYSTEMIC USE
J02A,ANTIMYCOTICS FOR SYSTEMIC USE
J02AC,TRIAZOLE DERIVATIVES
J02AC03,VORICONAZOLE
A16,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AX,VARIOUS ALIMENTARY TRACT AND METABOLISM PRODUCTS
A16AX04,NITISINONE
N06AX,OTHER ANTIDEPRESSANTS
N06AX16,VENLAFAXINE
M01,ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS
M01A,"ANTIINFLAMMATORY AND ANTIRHEUMATIC PRODUCTS, NON-STEROIDS"
M01AB,ACETIC ACID DERIVATIVES AND RELATED SUBSTANCES
M01AB15,KETOROLAC
B05BB,SOLUTIONS AFFECTING THE ELECTROLYTE BALANCE
B05BB01,ELECTROLYTES
M01AB05,DICLOFENAC
M02,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02A,TOPICAL PRODUCTS FOR JOINT AND MUSCULAR PAIN
M02AA,"ANTIINFLAMMATORY PREPARATIONS, NON-STEROIDS FOR TOPICAL USE"
M02AA13,IBUPROFEN
L03,IMMUNOSTIMULANTS
L03A,IMMUNOSTIMULANTS
L03AX,OTHER IMMUNOSTIMULANTS
L03AX13,GLATIRAMER ACETATE
A10BD,COMBINATIONS OF ORAL BLOOD GLUCOSE LOWERING DRUGS
A10BD02,METFORMIN AND SULFONAMIDES
L01XE36,ALECTINIB
N02AA02,OPIUM
A10BD05,METFORMIN AND PIOGLITAZONE
R03A,"ADRENERGICS, INHALANTS"
R03AK,"ADRENERGICS IN COMBINATION WITH CORTICOSTEROIDS OR OTHER DRUGS, EXCL. ANTICHOLINERGICS"
R03AK04,SALBUTAMOL AND SODIUM CROMOGLICATE
S03AA07,CIPROFLOXACIN
V03AC,IRON CHELATING AGENTS
V03AC02,DEFERIPRONE
R05X,OTHER COLD PREPARATIONS
d06a,ANTIBIOTICS FOR TOPICAL USE
d06ax,OTHER ANTIBIOTICS FOR TOPICAL USE
L01A,ALKYLATING AGENTS
L01AX,OTHER ALKYLATING AGENTS
L01AX03,TEMOZOLOMIDE
L01C,PLANT ALKALOIDS AND OTHER NATURAL PRODUCTS
L01CD,TAXANES
L01CD02,DOCETAXEL
N02CC04,RIZATRIPTAN
S01AE,FLUOROQUINOLONES
S01AE05,LEVOFLOXACIN
N06D,ANTI-DEMENTIA DRUGS
N06DX,OTHER ANTI-DEMENTIA DRUGS
N06DX01,MEMANTINE
D05,ANTIPSORIATICS
D05A,ANTIPSORIATICS FOR TOPICAL USE
D05AX,OTHER ANTIPSORIATICS FOR TOPICAL USE
D05AX52,"CALCIPOTRIOL, COMBINATIONS"
G04BD,DRUGS FOR URINARY FREQUENCY AND INCONTINENCE
G04BD08,SOLIFENACIN
J01XB,POLYMYXINS
J01XB01,COLISTIN
N06AB05,PAROXETINE
N06AX21,DULOXETINE
R01AD09,MOMETASONE
B05D,PERITONEAL DIALYTICS
B05DA,ISOTONIC SOLUTIONS
B01,ANTITHROMBOTIC AGENTS
B01A,ANTITHROMBOTIC AGENTS
B01AE,DIRECT THROMBIN INHIBITORS
B01AE07,DABIGATRAN ETEXILATE
L04AX04,LENALIDOMIDE
J01M,QUINOLONE ANTIBACTERIALS
J01MA,FLUOROQUINOLONES
J01MA14,MOXIFLOXACIN
S01L,OCULAR VASCULAR DISORDER AGENTS
S01LA,ANTINEOVASCULARISATION AGENTS
S01LA01,VERTEPORFIN
L04AA27,FINGOLIMOD
M05BB,"BISPHOSPHONATES, COMBINATIONS"
M05BB03,ALENDRONIC ACID AND COLECALCIFEROL
N04BC,DOPAMINE AGONISTS
N04BC05,PRAMIPEXOLE
R01AC,"ANTIALLERGIC AGENTS, EXCL. CORTICOSTEROIDS"
R01AC08,OLOPATADINE
C09,AGENTS ACTING ON THE RENIN-ANGIOTENSIN SYSTEM
C09D,"ANGIOTENSIN II ANTAGONISTS, COMBINATIONS"
C09DB,ANGIOTENSIN II ANTAGONISTS AND CALCIUM CHANNEL BLOCKERS
C09DB01,VALSARTAN AND AMLODIPINE
v04cx,OTHER DIAGNOSTIC AGENTS
L01D,CYTOTOXIC ANTIBIOTICS AND RELATED SUBSTANCES
L01DB,ANTHRACYCLINES AND RELATED SUBSTANCES
L01DB01,DOXORUBICIN
L01BA,FOLIC ACID ANALOGUES
L01BA04,PEMETREXED
B01AC,PLATELET AGGREGATION INHIBITORS EXCL. HEPARIN
B01AC22,PRASUGREL
L02AE04,TRIPTORELIN
V03AB,ANTIDOTES
V03AB21,POTASSIUM IODIDE
J01XA,GLYCOPEPTIDE ANTIBACTERIALS
J01XA01,VANCOMYCIN
M01AE,PROPIONIC ACID DERIVATIVES
M01AE01,IBUPROFEN
B01AD07,RETEPLASE
L01XC03,TRASTUZUMAB
J01MA15,GEMIFLOXACIN
C09DA,ANGIOTENSIN II ANTAGONISTS AND DIURETICS
C09DA03,VALSARTAN AND DIURETICS
L01XC07,BEVACIZUMAB
N03AG,FATTY ACID DERIVATIVES
N03AG01,VALPROIC ACID
V03AB09,DIMERCAPROL
n,NERVOUS SYSTEM
n06,PSYCHOANALEPTICS
n06a,ANTIDEPRESSANTS
n06af,"MONOAMINE OXIDASE INHIBITORS, NON-SELECTIVE"
n06af01,ISOCARBOXAZID
L01X,OTHER ANTINEOPLASTIC AGENTS
L01XE,PROTEIN KINASE INHIBITORS
L01XE10,EVEROLIMUS
S01C,ANTIINFLAMMATORY AGENTS AND ANTIINFECTIVES IN COMBINATION
S01CA,CORTICOSTEROIDS AND ANTIINFECTIVES IN COMBINATION
S01CA01,DEXAMETHASONE AND ANTIINFECTIVES
N02BE71,"PARACETAMOL, COMBINATIONS WITH PSYCHOLEPTICS"
H01C,HYPOTHALAMIC HORMONES
H01CB,SOMATOSTATIN AND ANALOGUES
H01CB02,OCTREOTIDE
R06,ANTIHISTAMINES FOR SYSTEMIC USE
R06A,ANTIHISTAMINES FOR SYSTEMIC USE
R06AX,OTHER ANTIHISTAMINES FOR SYSTEMIC USE
R06AX02,CYPROHEPTADINE
d05,ANTIPSORIATICS
d05b,ANTIPSORIATICS FOR SYSTEMIC USE
d05bb,RETINOIDS FOR TREATMENT OF PSORIASIS
d05bb02,ACITRETIN
N05AH,"DIAZEPINES, OXAZEPINES, THIAZEPINES AND OXEPINES"
N05AH04,QUETIAPINE
A04,ANTIEMETICS AND ANTINAUSEANTS
A04A,ANTIEMETICS AND ANTINAUSEANTS
A04AA,SEROTONIN (5HT3) ANTAGONISTS
A04AA02,GRANISETRON
A06AG,ENEMAS
A06AG01,SODIUM PHOSPHATE
G03D,PROGESTOGENS
G03DA,PREGNEN (4) DERIVATIVES
G03DA04,PROGESTERONE
J07,VACCINES
J07C,"BACTERIAL AND VIRAL VACCINES, COMBINED"
G03F,PROGESTOGENS AND ESTROGENS IN COMBINATION
G03FA,"PROGESTOGENS AND ESTROGENS, FIXED COMBINATIONS"
G03FA17,DROSPIRENONE AND ESTROGEN
D02,EMOLLIENTS AND PROTECTIVES
D02A,EMOLLIENTS AND PROTECTIVES
D02AB,ZINC PRODUCTS
N06BA09,ATOMOXETINE
J05AD,PHOSPHONIC ACID DERIVATIVES
J05AD01,FOSCARNET
M05BX,OTHER DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION
M05BX04,DENOSUMAB
H05,CALCIUM HOMEOSTASIS
H05B,ANTI-PARATHYROID AGENTS
H05BX,OTHER ANTI-PARATHYROID AGENTS
H05BX01,CINACALCET
N07,OTHER NERVOUS SYSTEM DRUGS
N07X,OTHER NERVOUS SYSTEM DRUGS
N07XX,OTHER NERVOUS SYSTEM DRUGS
N07XX07,FAMPRIDINE
M03AX,"OTHER MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS"
M03AX01,BOTULINUM TOXIN
G03G,GONADOTROPINS AND OTHER OVULATION STIMULANTS
G03GA,GONADOTROPINS
G03GA07,LUTROPIN ALFA
B01AC04,CLOPIDOGREL
N05B,ANXIOLYTICS
N05BE,AZASPIRODECANEDIONE DERIVATIVES
N05BE01,BUSPIRONE
N03AE,BENZODIAZEPINE DERIVATIVES
N03AE01,CLONAZEPAM
L03AB,INTERFERONS
L03AB08,INTERFERON BETA-1B
M03AC,OTHER QUATERNARY AMMONIUM COMPOUNDS
M03AC04,ATRACURIUM
S01LA05,AFLIBERCEPT
A16AA,AMINO ACIDS AND DERIVATIVES
A16AA04,MERCAPTAMINE
R06AX17,KETOTIFEN
B02,ANTIHEMORRHAGICS
B02B,VITAMIN K AND OTHER HEMOSTATICS
B02BD,BLOOD COAGULATION FACTORS
B02BD03,FACTOR VIII INHIBITOR BYPASSING ACTIVITY
V08A,"X-RAY CONTRAST MEDIA, IODINATED"
V08AB,"WATERSOLUBLE, NEPHROTROPIC, LOW OSMOLAR X-RAY CONTRAST MEDIA"
V08AB09,IODIXANOL
N02AX,OTHER OPIOIDS
N02AX02,TRAMADOL
A10BA,BIGUANIDES
A10BA02,METFORMIN
R03BA06,TRIAMCINOLONE
L01XC08,PANITUMUMAB
H05BA,CALCITONIN PREPARATIONS
H05BA03,CALCITONIN (HUMAN SYNTHETIC)
H05BA01,CALCITONIN (SALMON SYNTHETIC)
V08AB02,IOHEXOL
J06BB,SPECIFIC IMMUNOGLOBULINS
J06BB02,TETANUS IMMUNOGLOBULIN
D10,ANTI-ACNE PREPARATIONS
D10A,ANTI-ACNE PREPARATIONS FOR TOPICAL USE
D10AE,PEROXIDES
D10AE01,BENZOYL PEROXIDE
A07EC02,MESALAZINE
B05AA01,ALBUMIN
N06BA04,METHYLPHENIDATE
L04AA29,TOFACITINIB
N01AH01,FENTANYL
N01AX,OTHER GENERAL ANESTHETICS
N01AX10,PROPOFOL
G03GA04,UROFOLLITROPIN
L01CD01,PACLITAXEL
V04CJ,TESTS FOR THYREOIDEA FUNCTION
